Player,Span,Mat,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
N Pooran,2016-2023,69,1473,74*,25.39,1124,131.04,0,9,2,106,85
E Lewis,2016-2022,50,1450,125*,30.85,950,152.63,2,10,4,106,111
R Powell,2017-2023,55,972,107,24.30,702,138.46,1,4,2,56,63
KA Pollard,2016-2022,50,870,75*,28.06,677,128.5,0,4,2,42,60
BA King,2019-2023,33,793,68,26.43,614,129.15,0,6,2,91,26
KR Mayers,2020-2023,22,477,73,21.68,351,135.89,0,3,0,48,29
J Charles,2016-2023,17,465,118,27.35,312,149.03,1,2,2,38,30
JO Holder,2017-2023,44,394,38,15.76,320,123.12,0,0,4,23,22
R Shepherd,2020-2023,21,286,44*,47.66,179,159.77,0,0,0,10,24
OF Smith,2018-2023,25,178,27*,13.69,126,141.26,0,0,2,13,11
AJ Hosein,2021-2023,30,132,44*,18.85,115,114.78,0,0,1,8,7
RL Chase,2021-2023,8,74,39,12.33,80,92.5,0,0,1,8,0
RA Reifer,2022-2023,3,46,27,23.00,41,112.19,0,0,0,1,2
AS Joseph,2022-2023,12,43,14*,21.50,45,95.55,0,0,1,3,2
SS Cottrell,2018-2023,36,18,4*,6.00,28,64.28,0,0,0,2,0
